timestamp,switch_id,port_no,rx_mbps,tx_mbps,rx_loss,tx_loss,avg_queue_depth,latency_ms
1777605284.1207771,5,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1207771,5,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1207771,5,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.1207771,5,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.1207771,5,5,0.0,0.0,0.0,0.0,0,0.0
1777605284.1210723,8,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1210723,8,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1210723,8,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.1210723,8,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.1210723,8,5,0.0,0.0,0.0,0.0,0,0.0
1777605284.1212363,7,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1212363,7,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1212363,7,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.1212363,7,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.1212363,7,5,0.0,0.0,0.0,0.0,0,0.0
1777605284.121376,6,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.121376,6,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.121376,6,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.121376,6,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.121376,6,5,0.0,0.0,0.0,0.0,0,0.0
1777605284.121533,2,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.121533,2,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1215956,3,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1215956,3,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1215956,3,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.1215956,3,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.1217244,4,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1217244,4,2,0.0,0.0,0.0,0.0,0,0.0
1777605284.1217244,4,3,0.0,0.0,0.0,0.0,0,0.0
1777605284.1217244,4,4,0.0,0.0,0.0,0.0,0,0.0
1777605284.1218514,1,1,0.0,0.0,0.0,0.0,0,0.0
1777605284.1218514,1,2,0.0,0.0,0.0,0.0,0,0.0
1777605285.13064,3,1,0.8964,0.8721,0.0,0.0,0,3.176
1777605285.13064,3,2,0.8613,0.9042,0.0,0.0,0,3.176
1777605285.13064,3,3,0.0106,1.7514,0.0,0.0,0,3.176
1777605285.13064,3,4,0.0055,1.7545,0.0,0.0,0,3.176
1777605285.1308992,6,1,1.7536,0.0055,0.0,0.0,0,3.0267
1777605285.1308992,6,2,0.0014,1.7481,0.0,0.0,0,3.0267
1777605285.1308992,6,3,0.0014,1.7488,0.0,0.0,0,3.0267
1777605285.1308992,6,4,0.0014,1.7494,0.0,0.0,0,3.0267
1777605285.1308992,6,5,0.0007,1.7496,0.0,0.0,0,3.0267
1777605285.1335363,1,1,0.8699,0.894,0.0,0.0,0,3.3479
1777605285.1335363,1,2,0.9051,0.8623,0.0,0.0,0,3.3479
1777605285.1336617,8,1,1.7499,0.0075,0.0,0.0,0,2.6515
1777605285.1336617,8,2,0.0014,1.7437,0.0,0.0,0,2.6515
1777605285.1336617,8,3,0.0014,1.7436,0.0,0.0,0,2.6515
1777605285.1336617,8,4,0.0014,1.743,0.0,0.0,0,2.6515
1777605285.1336617,8,5,0.0014,1.743,0.0,0.0,0,2.6515
1777605285.1338592,7,1,1.7479,0.0108,0.0,0.0,0,2.8162
1777605285.1338592,7,2,0.0014,1.7405,0.0,0.0,0,2.8162
1777605285.1338592,7,3,0.0014,1.7417,0.0,0.0,0,2.8162
1777605285.1338592,7,4,0.0014,1.741,0.0,0.0,0,2.8162
1777605285.1338592,7,5,0.0054,1.7364,0.0,0.0,0,2.8162
1777605285.1340387,2,1,0.9046,0.8652,0.0,0.0,0,3.0031
1777605285.1340387,2,2,0.873,0.895,0.0,0.0,0,3.0031
1777605285.1341176,4,1,0.8657,0.9051,0.0,0.0,0,3.2508
1777605285.1341176,4,2,0.8958,0.8745,0.0,0.0,0,3.2508
1777605285.1341176,4,3,0.0108,1.7504,0.0,0.0,0,3.2508
1777605285.1341176,4,4,0.0075,1.7524,0.0,0.0,0,3.2508
1777605285.144325,5,1,1.7353,0.0104,0.0,0.0,0,2.5034
1777605285.144325,5,2,0.004,1.7263,0.0,0.0,0,2.5034
1777605285.144325,5,3,0.0019,1.729,0.0,0.0,0,2.5034
1777605285.144325,5,4,0.0027,1.7276,0.0,0.0,0,2.5034
1777605285.144325,5,5,0.002,1.7263,0.0,0.0,0,2.5034
1777605286.1421638,7,1,1.6749,0.0373,0.0,0.0,0,12.0614
1777605286.1421638,7,2,0.006,1.7096,0.0,0.0,0,12.0614
1777605286.1421638,7,3,0.0095,1.7049,0.0,0.0,0,12.0614
1777605286.1421638,7,4,0.0088,1.7056,0.0,0.0,0,12.0614
1777605286.1421638,7,5,0.0123,1.7034,0.0,0.0,0,12.0614
1777605286.1424732,8,1,1.6809,0.0318,0.0,0.0,0,9.7566
1777605286.1424732,8,2,0.004,1.7069,0.0,0.0,0,9.7566
1777605286.1424732,8,3,0.0054,1.7043,0.0,0.0,0,9.7566
1777605286.1424732,8,4,0.0129,1.698,0.0,0.0,0,9.7566
1777605286.1424732,8,5,0.0088,1.7021,0.0,0.0,0,9.7566
1777605286.1426756,6,1,1.6868,0.0294,0.0,0.0,0,9.1143
1777605286.1426756,6,2,0.0115,1.6912,0.0,0.0,0,9.1143
